ticker,name,sector,form,filing_date,accession,source_url,local_path,status
CL,Colgate-Palmolive,Consumer Staples,10-K,2026-02-23,0000021665-26-000006,https://www.sec.gov/Archives/edgar/data/21665/000002166526000006/cl-20251231.htm,sp100_dataset/CL/10-K_2026-02-23.txt,cached
CMCSA,Comcast,Communication Services,8-K,2026-06-29,0000950103-26-009591,https://www.sec.gov/Archives/edgar/data/1166691/000095010326009591/dp249094_8k.htm,sp100_dataset/CMCSA/8-K_2026-06-29.txt,cached
CMCSA,Comcast,Communication Services,8-K,2026-06-12,0001628280-26-042848,https://www.sec.gov/Archives/edgar/data/1166691/000162828026042848/cmcsa-20260610.htm,sp100_dataset/CMCSA/8-K_2026-06-12.txt,cached
CMCSA,Comcast,Communication Services,DEF 14A,2026-04-24,0001193125-26-177138,https://www.sec.gov/Archives/edgar/data/1166691/000119312526177138/cmcsa-20260424.htm,sp100_dataset/CMCSA/DEF14A_2026-04-24.txt,cached
CMCSA,Comcast,Communication Services,10-K,2026-02-03,0001628280-26-004994,https://www.sec.gov/Archives/edgar/data/1166691/000162828026004994/cmcsa-20251231.htm,sp100_dataset/CMCSA/10-K_2026-02-03.txt,cached
COF,Capital One,Financials,8-K,2026-06-15,0000927628-26-000066,https://www.sec.gov/Archives/edgar/data/927628/000092762826000066/cof-20260612.htm,sp100_dataset/COF/8-K_2026-06-15.txt,cached
COF,Capital One,Financials,8-K,2026-06-09,0001193125-26-263735,https://www.sec.gov/Archives/edgar/data/927628/000119312526263735/d94250d8k.htm,sp100_dataset/COF/8-K_2026-06-09.txt,cached
COF,Capital One,Financials,DEF 14A,2026-03-25,0001193125-26-124131,https://www.sec.gov/Archives/edgar/data/927628/000119312526124131/d701179ddef14a.htm,sp100_dataset/COF/DEF14A_2026-03-25.txt,cached
COF,Capital One,Financials,10-K,2026-02-19,0000927628-26-000024,https://www.sec.gov/Archives/edgar/data/927628/000092762826000024/cof-20251231.htm,sp100_dataset/COF/10-K_2026-02-19.txt,cached
COP,ConocoPhillips,Energy,8-K,2026-06-23,0001104659-26-076836,https://www.sec.gov/Archives/edgar/data/1163165/000110465926076836/tm2618585d1_8k.htm,sp100_dataset/COP/8-K_2026-06-23.txt,cached
COP,ConocoPhillips,Energy,8-K,2026-05-14,0001104659-26-061130,https://www.sec.gov/Archives/edgar/data/1163165/000110465926061130/tm2614551d1_8k.htm,sp100_dataset/COP/8-K_2026-05-14.txt,cached
COP,ConocoPhillips,Energy,DEF 14A,2026-03-30,0001104659-26-036366,https://www.sec.gov/Archives/edgar/data/1163165/000110465926036366/tm2523177-3_def14a.htm,sp100_dataset/COP/DEF14A_2026-03-30.txt,cached
COP,ConocoPhillips,Energy,10-K,2026-02-17,0001163165-26-000009,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/cop-20251231.htm,sp100_dataset/COP/10-K_2026-02-17.txt,cached
