ticker,name,sector,form,filing_date,accession,source_url,local_path,status
CVS,CVS Health,Health Care,10-K,2026-02-10,0000064803-26-000010,https://www.sec.gov/Archives/edgar/data/64803/000006480326000010/cvs-20251231.htm,sp100_dataset/CVS/10-K_2026-02-10.txt,cached
CVX,Chevron Corporation,Energy,8-K,2026-05-29,0000093410-26-000125,https://www.sec.gov/Archives/edgar/data/93410/000009341026000125/cvx-20260527.htm,sp100_dataset/CVX/8-K_2026-05-29.txt,ok
CVX,Chevron Corporation,Energy,8-K,2026-05-29,0000093410-26-000123,https://www.sec.gov/Archives/edgar/data/93410/000009341026000123/cvx-20260527.htm,sp100_dataset/CVX/8-K_2026-05-29_2.txt,ok
CVX,Chevron Corporation,Energy,DEF 14A,2026-04-07,0001193125-26-145617,https://www.sec.gov/Archives/edgar/data/93410/000119312526145617/d77994ddef14a.htm,sp100_dataset/CVX/DEF14A_2026-04-07.txt,cached
CVX,Chevron Corporation,Energy,10-K,2026-02-24,0000093410-26-000078,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,sp100_dataset/CVX/10-K_2026-02-24.txt,cached
DE,Deere & Company,Industrials,8-K,2026-07-15,0001104659-26-083910,https://www.sec.gov/Archives/edgar/data/315189/000110465926083910/de-20260710x8k.htm,sp100_dataset/DE/8-K_2026-07-15.txt,ok
DE,Deere & Company,Industrials,8-K,2026-06-01,0001104659-26-068930,https://www.sec.gov/Archives/edgar/data/315189/000110465926068930/de-20260526x8k.htm,sp100_dataset/DE/8-K_2026-06-01.txt,cached
DE,Deere & Company,Industrials,DEF 14A,2026-01-14,0001104659-26-003618,https://www.sec.gov/Archives/edgar/data/315189/000110465926003618/de-20260225xdef14a.htm,sp100_dataset/DE/DEF14A_2026-01-14.txt,cached
DE,Deere & Company,Industrials,10-K,2025-12-18,0001104659-25-122321,https://www.sec.gov/Archives/edgar/data/315189/000110465925122321/de-20251102x10k.htm,sp100_dataset/DE/10-K_2025-12-18.txt,cached
DHR,Danaher Corporation,Health Care,8-K,2026-06-03,0001193125-26-255555,https://www.sec.gov/Archives/edgar/data/313616/000119312526255555/d63873d8k.htm,sp100_dataset/DHR/8-K_2026-06-03.txt,cached
